References,DOIS,Iteration,Status
"K. Petersen, Çigdem Gencel, Negin Asghari, Stefanie Betz, ""An elicitation instrument for operationalising GQM+Strategies (GQM+S-EI)"", Empirical Software Engineering, 2015.",https://doi.org/10.1007/s10664-014-9306-z,1,Abstract not found
"Hussan Munir, M. Moayyed, K. Petersen, ""Considering rigor and relevance when evaluating test driven development: A systematic review"", Inf. Softw. Technol., 2014.",https://doi.org/10.1016/j.infsof.2014.01.002,1,Abstract not found
"Çigdem Gencel, K. Petersen, A. Mughal, M. Iqbal, ""A decision support framework for metrics selection in goal-based measurement programs: GQM-DSFMS"", J. Syst. Softw., 2013.",https://doi.org/10.1016/j.jss.2013.07.022,1,Extraction successful
"K. Petersen, Çigdem Gencel, ""Worldviews, Research Methods, and their Relationship to Validity in Empirical Software Engineering Research"", 2013 Joint Conference of the 23rd International Workshop on Software Measurement and the 8th International Conference on Software Process and Product Measurement, 2013.",https://doi.org/10.1109/IWSM-Mensura.2013.22,1,Extraction successful
"D. Baca, K. Petersen, ""Countermeasure graphs for software security risk assessment: An action research"", J. Syst. Softw., 2013.",https://doi.org/10.1016/j.jss.2013.04.023,1,Extraction successful
"D. Baca, B. Carlsson, K. Petersen, L. Lundberg, ""Improving software security with static automated code analysis in an industry setting"", Softw. Pract. Exp., 2013.",https://doi.org/10.1002/spe.2109,1,Extraction successful
"Sara Mahdavi-Hezavehi, M. Galster, P. Avgeriou, ""Variability in quality attributes of service-based software systems: A systematic literature review"", Inf. Softw. Technol., 2013.",https://doi.org/10.1016/j.infsof.2012.08.010,1,Abstract not found
"Frank Elberzhager, Alla Rosbach, Jürgen Münch, R. Eschbach, ""Reducing test effort: A systematic mapping study on existing approaches"", Inf. Softw. Technol., 2012.",https://doi.org/10.1016/j.infsof.2012.04.007,1,Abstract not found
"Martin Ivarsson, T. Gorschek, ""A method for evaluating rigor and industrial relevance of technology evaluations"", Empirical Software Engineering, 2011.",https://doi.org/10.1007/s10664-010-9146-4,1,Extraction successful
"D. Baca, K. Petersen, ""Prioritizing Countermeasures through the Countermeasure Method for Software Security (CM-Sec)"", PROFES, 2010.",https://doi.org/10.1007/978-3-642-13792-1_15,1,Extraction successful
"P. Santos, G. Travassos, ""Action research use in software engineering: An initial survey"", 2009 3rd International Symposium on Empirical Software Engineering and Measurement, 2009.",https://doi.org/10.1145/1671248.1671296,1,BIB not found
"K. Petersen, C. Wohlin, ""Context in industrial software engineering research"", 2009 3rd International Symposium on Empirical Software Engineering and Measurement, 2009.",https://doi.org/10.1109/ESEM.2009.5316010,1,Extraction successful
"Martin Ivarsson, T. Gorschek, ""Technology transfer decision support in requirements engineering research: a systematic review of REj"", Requirements Engineering, 2009.",https://doi.org/10.1007/s00766-009-0080-1,1,Extraction successful
"M. Staron, Wilhelm Meding, Christer Nilsson, ""A framework for developing measurement systems and its industrial evaluation"", Inf. Softw. Technol., 2009.",https://doi.org/10.1016/j.infsof.2008.10.001,1,Extraction successful
"P. Runeson, Martin Höst, ""Guidelines for conducting and reporting case study research in software engineering"", Empirical Software Engineering, 2009.",https://doi.org/10.1007/s10664-008-9102-8,1,Extraction successful
"M. Staron, Wilhelm Meding, ""Predicting weekly defect inflow in large software projects based on project planning and test status"", Inf. Softw. Technol., 2008.",https://doi.org/10.1016/j.infsof.2007.10.001,1,Extraction successful
"N. Maiden, S. Robertson, ""Developing use cases and scenarios in the requirements process"", Proceedings. 27th International Conference on Software Engineering, 2005. ICSE 2005., 2005.",https://doi.org/10.1145/1062455.1062555,1,Abstract not found
"E. Fernández-Medina, M. Piattini, ""Designing secure databases"", Inf. Softw. Technol., 2005.",https://doi.org/10.1016/j.infsof.2004.09.013,1,Abstract not found
"Marjo Kauppinen, M. Vartiainen, J. Kontio, Sari Kujala, R. Sulonen, ""Implementing requirements engineering processes throughout organizations: success factors and challenges"", Inf. Softw. Technol., 2004.",https://doi.org/10.1016/j.infsof.2004.04.002,1,Extraction successful
"M. Polo, M. Piattini, F. Ruiz, ""Using a qualitative research method for building a software maintenance methodology"", Softw. Pract. Exp., 2002.",https://doi.org/10.1002/spe.481,1,Extraction successful
"R. Glass, I. Vessey, V. Ramesh, ""Research in software engineering: an analysis of the literature"", Inf. Softw. Technol., 2002.",https://doi.org/10.1016/S0950-5849(02)00049-6,1,Extraction successful
"J. McKay, P. Marshall, ""The dual imperatives of action research"", Inf. Technol. People, 2001.",https://doi.org/10.1108/09593840110384771,1,Extraction successful
"J. Meyer, ""Evaluating action research."", Age and ageing, 2000.",https://doi.org/10.1093/OXFORDJOURNALS.AGEING.A008104,1,Abstract not found
"K. Kautz, H. Hansen, Kim Thaysen, ""Applying and adjusting a software process improvement model in practice: the use of the IDEAL model in a small software enterprise"", Proceedings of the 2000 International Conference on Software Engineering. ICSE 2000 the New Millennium, 2000.",https://doi.org/10.1145/337180.337492,1,Extraction successful
"D. Coghlan, ""Organization Development: Behavioral Science Interventions for Organization Improvement (6th ed.)"", , 2000.",https://doi.org/10.1108/LODJ.2000.21.1.62.3,1,Abstract not found
"C. Wohlin, P. Runeson, Martin Höst, M. C. Ohlsson, B. Regnell, ""Experimentation in Software Engineering"", The Kluwer International Series in Software Engineering, 2000.",https://doi.org/10.1007/978-1-4615-4625-2,1,Abstract not found
"R. Baskerville, ""Investigating Information Systems with Action Research"", Commun. Assoc. Inf. Syst., 1999.",https://doi.org/10.17705/1cais.00219,1,Extraction successful
"R. Westfall, ""An IS Research Relevancy Manifesto"", Commun. Assoc. Inf. Syst., 1999.",https://doi.org/10.17705/1cais.00214,1,Extraction successful
"P. Bengtsson, J. Bosch, ""Haemo dialysis software architecture design experiences"", Proceedings of the 1999 International Conference on Software Engineering (IEEE Cat. No.99CB37002), 1999.",https://doi.org/10.1145/302405.302684,1,Abstract not found
"Bob McFeeley, ""IDEAL: A User's Guide for Software Process Improvement."", , 1996.",https://doi.org/10.21236/ada305472,1,Abstract not found
"G. Susman, R. Evered, ""An Assessment of the Scientific Merits of Action Research."", , 1978.",https://doi.org/10.2307/2392581,1,Extraction successful
