References,DOIS,Iteration,Status
"R. Malhotra, M. Massoudi, Rajni Jindal, ""An alumni-based collaborative model to strengthen academia and industry partnership: The current challenges and strengths"", Education and Information Technologies, 2022.",https://doi.org/10.1007/s10639-022-11276-1,1.0,Extraction successful
"Tom Huysegoms, M. Snoeck, G. Dedene, Antoon Goderis, F. Stumpe, ""A case study on variability management in software product lines: identifying why real-life projects fail"", International Journal of Information Systems and Project Management, 2022.",https://doi.org/10.12821/IJISPM010103,1.0,Extraction successful
"B. Johansson, M. Lahtinen, ""Getting the balance right between functional and non-functional requirements: the case of requirement specification in IT procurement"", International Journal of Information Systems and Project Management, 2022.",https://doi.org/10.12821/IJISPM010101,1.0,Extraction successful
"Sa’adah Hassan, Aidi Ahmi, ""Mapping the State of the Art of Scientific Production on Requirements Engineering Research: A Bibliometric Analysis"", , 2022.",https://doi.org/10.4018/IJITSA.289999,1.0,Extraction successful
"F. Lima, A. Burrows, Lídia Lemos, Priscila Lucena, Ricardo Pessoa, R. Jose, P. Trigueiros, ""An Industry-Academia, Multidisciplinary and Expertise-Heterogeneous Design Approach: A Case Study on Designing for Mobility"", Springer Series in Design and Innovation, 2021.",https://doi.org/10.1007/978-3-030-89735-2_23,1.0,Extraction successful
"Sergio Rico, E. Bjarnason, Emelie Engström, Martin Höst, P. Runeson, ""A case study of industry–academia communication in a joint software engineering research project"", J. Softw. Evol. Process., 2021.",https://doi.org/10.1002/smr.2372,1.0,Abstract not found
"D. van der Linden, ""Interspecies information systems"", Requirements Engineering, 2021.",https://doi.org/10.1007/s00766-021-00355-3,1.0,Extraction successful
"D. Linden, ""Interspecies information systems"", Requir. Eng., 2020.",https://doi.org/10.1007/s00766-021-00355-3,1.0,Extraction successful
"X. Franch, D. Méndez, Andreas Vogelsang, Rogardt Heldal, E. Knauss, M. Oriol, G. Travassos, Jeffrey C. Carver, T. Zimmermann, ""How do Practitioners Perceive the Relevance of Requirements Engineering Research?"", IEEE Transactions on Software Engineering, 2020.",https://doi.org/10.1109/TSE.2020.3042747,1.0,Abstract not found
"V. Garousi, D. Shepherd, Kadir Herkiloglu, ""Successful Engagement of Practitioners and Software Engineering Researchers: Evidence From 26 International Industry–Academia Collaborative Projects"", IEEE Software, 2020.",https://doi.org/10.1109/MS.2019.2914663,1.0,Extraction successful
"Francisco J. Gomez-Arribas, M. Chaves, S. H. Olsen, L. Vanfretti, ""Software requirements for interoperable and standard-based power system modeling tools"", Simul. Model. Pract. Theory, 2020.",https://doi.org/10.1016/j.simpat.2020.102095,1.0,Extraction successful
"Muslih Al Zahrani, M. Fawzy, ""Engineering Education Gaming: Case Study of Engineering Ethics Game Modeling"", 2020 Industrial & Systems Engineering Conference (ISEC), 2020.",https://doi.org/10.1109/ISEC49495.2020.9230280,1.0,Abstract not found
"V. Garousi, Markus Borg, M. Oivo, ""Practical relevance of software engineering research: synthesizing the community’s voice"", Empirical Software Engineering, 2018.",https://doi.org/10.1007/s10664-020-09803-0,1.0,Abstract not found
"Yuqing Yan, Zhen-hua Zhang, ""Knowledge Transfer, Sharing, and Management System Based on Causality for Requirements Change Management"", ICISDM, 2019.",https://doi.org/10.1145/3325917.3325947,1.0,Extraction successful
"D. Linden, I. Hadar, A. Zamansky, ""What practitioners really want: requirements for visual notations in conceptual modeling"", Software & Systems Modeling, 2019.",https://doi.org/10.1007/s10270-018-0667-4,1.0,Abstract not found
"V. Garousi, Markus Borg, M. Oivo, ""Cut to the chase: Revisiting the relevance of software engineering research"", ArXiv, 2018.",https://doi.org/10.1145/3193965.3193966,1.0,Abstract not found
"M. Daneva, K. Sikkel, Nelly Condori-Fernández, A. Herrmann, ""Experiences in Using Practitioner's Checklists to Evaluate the Industrial Relevance of Requirements Engineering Experiments"", 2018 IEEE/ACM 6th International Workshop on Conducting Empirical Studies in Industry (CESI), 2018.",https://doi.org/10.1016/J.INFSOF.2017.10.013,1.0,Abstract not found
"T. Mikkonen, C. Lassenius, T. Männistö, M. Oivo, J. Järvinen, ""Continuous and collaborative technology transfer: Software engineering research with real-time industry impact"", Inf. Softw. Technol., 2017.",https://doi.org/10.5220/0006694502410248,1.0,Abstract not found
"T. Tamai, Taichi Anzai, ""Quality Requirements Analysis with Machine Learning"", ENASE, 2018.",https://doi.org/10.1109/RE.2017.23,1.0,Abstract not found
"Xiaozhou Li, Zheying Zhang, T. Poranen, ""Scenario-Driven Continuous Mobility Requirements Analysis in Mobile App Maintenance"", REFSQ Workshops, 2018.",https://doi.org/10.1109/RE.2017.17,1.0,Abstract not found
"David Callele, K. Wnuk, B. Penzenstadler, ""New Frontiers for Requirements Engineering"", 2017 IEEE 25th International Requirements Engineering Conference (RE), 2017.",https://doi.org/10.1109/TSMC.2015.2502953,1.0,Extraction successful
"X. Franch, D. M. Fernández, M. Oriol, Andreas Vogelsang, Rogardt Heldal, E. Knauss, G. Travassos, Jeffrey C. Carver, Óscar Dieste Tubío, T. Zimmermann, ""How do Practitioners Perceive the Relevance of Requirements Engineering Research? An Ongoing Study"", 2017 IEEE 25th International Requirements Engineering Conference (RE), 2017.",https://doi.org/10.1007/978-3-319-47883-8_11,1.0,Abstract not found
"Rana Siadati, P. Wernick, V. Veneziano, ""Modelling politics in requirements engineering: adding emoji to existing notations"", ArXiv, 2017.",https://doi.org/10.1007/s11219-016-9319-5,1.0,Abstract not found
"A. Salado, Roshi Rose Nilchiani, ""Reducing Excess Requirements Through Orthogonal Categorizations During Problem Formulation: Results of a Factorial Experiment"", IEEE Transactions on Systems, Man, and Cybernetics: Systems, 2017.",https://doi.org/10.1016/J.INFSOF.2016.07.006,1.0,Extraction successful
"R. Allarton, ""Higher Education Support to Small Medium Enterprises: A Local Experience in Energy Efficiency"", , 2017.",https://doi.org/10.1016/J.JSS.2016.07.008,1.0,Extraction successful
"Sanja Aaramaa, ""Developing a requirements architecting method for the requirement screening process in the Very Large-Scale Requirements Engineering Context"", , 2017.",https://doi.org/10.1145/2894784.2894794,1.0,Extraction successful
"V. Garousi, M. M. Eskandar, Kadir Herkiloglu, ""Industry–academia collaborations in software testing: experience and success stories from Canada and Turkey"", Software Quality Journal, 2017.",https://doi.org/10.1109/JSYST.2014.2315597,1.0,Extraction successful
"V. Garousi, K. Petersen, B. Özkan, ""Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature review"", Inf. Softw. Technol., 2016.",https://doi.org/10.1007/978-3-319-31545-4_12,1.0,Extraction successful
"Yuepu Guo, C. Seaman, F. Q. Silva, ""Costs and obstacles encountered in technical debt management - A case study"", J. Syst. Softw., 2016.",https://doi.org/10.1002/sys.21324,1.0,Extraction successful
"Richa Sharma, Peeyush Aggarwal, A. Sureka, ""Insights from Mining Eleven Years of Scholarly Paper Publications in Requirements Engineering (RE) Series of Conferences"", SOEN, 2016.",https://doi.org/10.1109/SERIP.2015.11,1.0,Extraction successful
"A. Salado, Roshi Rose Nilchiani, ""The Concept of Order of Conflict in Requirements Engineering"", IEEE Systems Journal, 2016.",https://doi.org/10.5121/ijsea.2014.5402,1.0,Extraction successful
"K. Petersen, ""A Researcher’s Experiences in Supporting Industrial Software Process Improvement"", , 2016.",https://doi.org/10.5120/15349-3690,1.0,Extraction successful
"A. Salado, Roshi Rose Nilchiani, ""Adaptive Requirements Prioritization (ARP): Improving Decisions between Conflicting Requirements"", Syst. Eng., 2015.",https://doi.org/10.1002/sys.21274,1.0,Extraction successful
"A. Yamashita, ""Integration of SE Research and Industry: Reflections, Theories and Illustrative Example"", 2015 IEEE/ACM 2nd International Workshop on Software Engineering Research and Industrial Practice, 2015.",https://doi.org/10.1007/s00766-013-0186-3,1.0,Extraction successful
"Tamjid Rahman, M. Rokonuzzaman, ""A Noble Methodology for Users Work Process Driven Software Requirements for Smart Handheld Devices"", ArXiv, 2014.",https://doi.org/10.1109/RE.2013.6636721,1.0,Extraction successful
"Edward Kabaale, G. Kituyi, I. Mbarika, ""Requirements Engineering Process Improvement Challenges faced by Software SMEs in Uganda"", , 2014.",https://doi.org/10.1002/sys.21229,1.0,Extraction successful
